Title,Genre,Runtime (mins),Language,Total Hours,Total Views,Release Date,Year,IMDb Rating,Metascore,Directors,Star1,Star2,Star3,Age_Rating,Num Votes,Budget ($)
The Kissing Booth,Romantic Comedy,106,English,8590000,4900000,11/05/2018,2018,5.9,,Vince Marcello,Joey King,Jacob Elordi,Megan du Plessis,PG-13,89036,11000000
Ibiza,Comedy,94,English,1420000,900000,25/05/2018,2018,5.2,56,Alex Richanbach,Gwen Elizabeth Duchon,Gillian Jacobs,Phoebe Robinson,15,18480,5000000
How It Ends,Action,113,English,29170000,15500000,13/07/2018,2018,5,36,David M. Rosenthal,Theo James,Kat Graham,Nicole Ari Parker,15,56061,20000000
The Christmas Chronicles,Holiday,105,English,47630000,27200000,22/11/2018,2018,7,52,Clay Kaytis,Kurt Russell,Darby Camp,Oliver Hudson,PG,78271,10000000
Murder Mystery,Comedy,97,English,58120000,35900000,14/06/2019,2019,6,38,Kyle Newacheck,Adam Sandler,Jennifer Aniston,Terence Stamp,PG-13,158933,24000000
6 Underground,Action,128,English,23940000,11200000,13/12/2019,2019,6.1,41,Michael Bay,Ryan Reynolds,Melanie Laurent,Ben Hardy,R,188525,150000000
Extraction,Action,117,English,57800000,29600000,24/04/2020,2020,6.8,56,Sam Hargrave,Chris Hemsworth,Bryon Lerum,Rudhraksh Jaiswal,R,246993,65000000
The Kissing Booth 2,Romantic Comedy,132,English,8370000,3800000,24/07/2020,2020,5.7,39,Vince Marcello,Joey King,Joel Courtney,Molly Ringwald,PG-13,35021,10000000
The Water Man,Drama,91,English,11630000,7700000,19/09/2020,2020,5.5,68,David Oyelowo,David Oyelowo,Amiah Miller,Rosario Dawson,PG,4373,8000000
Enola Holmes,Mystery,123,English,35900000,17500000,23/09/2020,2020,6.6,68,Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Helena Bonham Carter,PG-13,207331,21000000
Hubie Halloween,Comedy,103,English,3960000,2300000,07/10/2020,2020,5.2,53,Steven Brill,Adam Sandler,Kevin James,Ray Liotta,PG-13,54495,14000000
The Christmas Chronicles: Part Two,Holiday,115,English,33790000,17600000,25/11/2020,2020,6,51,Chris Columbus,Kurt Russell,Goldie Hawn,Julian Dennison,PG,33117,20000000
The Call,Drama,112,Korean,7710000,4100000,27/11/2020,2020,4.2,,Timothy Woodward Jr.,Lin Shaye,Tobin Bell,Erin Sanders,15,4620,10000000
The Claus Family,Holiday,97,Dutch,21600000,13400000,07/12/2020,2020,5.6,,Matthias Temmermans,Jan Decleir,Mo Bakker,Bracha van Doesburgh,PG,2622,6000000
Army of the Dead,Zombie Heist,148,English,30310000,12300000,21/05/2021,2021,5.8,57,Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,R,180149,90000000
Fatherhood,Comedy-Drama,109,English,46300000,25500000,18/06/2021,2021,6.6,53,Paul Weitz,Kevin Hart,Alfre Woodard,DeWanda Wise,PG-13,40815,15000000
Good on Paper,Comedy,94,English,10580000,6800000,23/06/2021,2021,5.6,54,Kimmy Gatewood,Iliza Shlesinger,Britney Young,Adam Lustick,15,13286,5000000
The Ice Road,Action,109,English,25340000,13900000,25/06/2021,2021,5.6,42,Jonathan Hensleigh,Liam Neeson,Marcus Thomas,Amber Midthunder,PG-13,44584,18000000
Fear Street Part 1: 1994,Horror,107,English,66350000,37200000,02/07/2021,2021,6.2,67,Leigh Janiak,Kiana Madeira,Olivia Scott Welch,Julia Rehwald,R,88138,10000000
